Name,RA,DEC,z,LogLnu2500,LogL3000_THB21
1H0707-495,107.172864,-49.55175,0.0408,28.740509830744113,0.0
1H1613-097,243.829423,-9.603705,0.06496,28.715039345684303,0.0
2E1013,65.815836,-1.342518,0.915,30.276704107233094,0.0
2E1135,70.32219,-43.22914,0.5938,30.530366610815104,0.0
2E1644,95.782068,-64.605756,0.129,29.694776758590745,0.0
2E2889,193.659398,11.684971,0.8737,30.509590264976364,46.1327338843664
2E3345,223.614207,-37.79254,0.314,29.815997937988012,0.0
2E4226,290.308978,-58.670275,0.037109,29.43295559911023,0.0
2E935,61.391681,-13.137136,0.5705,30.30941897871046,0.0
2MASSJ00481898+3941116,12.079106,39.686582,0.135,29.70533298266611,0.0
2MASSJ10053274-2417161,151.38644,-24.287807,0.154,29.022508925000334,0.0
3C057,30.488246,-11.542621,0.6713,31.007963941380932,0.0
3C095,57.869031,-14.485618,0.616,31.067088252665467,0.0
3C110,64.31993,-5.89599,0.7744,31.018836430460972,0.0
3C207,130.198285,13.206545,0.6804,30.075791631184426,45.29532288720673
3C215,136.632796,16.769949,0.4113,29.745632530068235,0.0
3C232,149.58729,32.400614,0.5298,30.55629685825289,45.91450063280501
3C249.1,166.057754,76.982832,0.3116,30.370517943733102,0.0
3C254,168.66135,40.622301,0.7367,30.323286426151174,45.80081654137815
3C263,174.987604,65.797078,0.6465,30.992265414242066,0.0
3C273,187.277915,2.052388,0.1583,31.00314615880619,0.0
3C277.1,193.109825,56.572107,0.32,29.805620908915845,44.62075823122517
3C281,196.97472,6.703867,0.599,30.242018809745716,45.74851746347352
3C323.1,236.931408,20.871282,0.2659,30.098674033600346,45.57784437143687
3C334,245.090915,17.606653,0.5556,30.572733787975636,45.72871517760257
3C336,246.162893,23.753404,0.927,30.337741298745453,45.631981980494096
3C345,250.745042,39.810276,0.5931,29.820699077188227,46.14277006073506
3C351.0,256.172379,60.741835,0.372,30.584291217754544,45.811679079168385
3C390,280.537459,79.771425,0.0555,28.070742360405134,0.0
3C454,343.490616,16.148211,0.8586,30.804590046125092,0.0
4C-01.61,357.983846,-1.153698,0.174,29.465688424491365,45.03514772267866
4C-03.79,334.716824,-3.593577,0.901,30.73342075130734,0.0
4C01.04,24.988774,1.529483,0.26,29.166942102324924,0.0
4C09.72,347.823972,10.137722,0.4341,30.451100576823244,0.0
4C09.74,356.653494,9.512643,0.6719,30.779454118978208,0.0
4C10.06,34.28195,11.069412,0.408,30.220633548424754,0.0
4C11.72,343.543421,11.610763,0.3256,30.287602007579995,0.0
4C15.01,1.496825,16.163617,0.4504,30.83725501105964,0.0
4C16.30,166.812696,16.467291,0.632,30.62907945666686,45.9152169695811
4C19.44,209.268486,19.318715,0.7197,30.896934091635348,46.23299022047748
4C31.63,330.812399,31.760631,0.2952,30.510507387229197,0.0
4C37.43,228.679451,36.847321,0.371,30.527028410940396,45.402490629615485
4C39.25,141.762558,39.039125,0.6953,30.786296125149065,45.93923128131373
4C49.22,178.351944,49.519119,0.3336,29.977683752873,44.96264400026103
4C61.20,163.136442,61.42251,0.4207,30.428566062102536,45.44474674938165
4C63.15,179.66629,62.907761,0.5924,30.684909209809284,45.85103883665365
4C73.18,291.952063,73.967103,0.3021,30.12964528232043,0.0
6C134441+623604,206.573119,62.345938,0.11674,27.962378523661865,43.86233197598682
7C1156+2123,179.859195,21.115543,0.349,29.968430621834344,45.06057810531042
7C1821+6419,275.48844,64.34339,0.2972,31.057749787099485,0.0
Ark120,79.047523,-0.14976,0.0323,29.05327611917526,0.0
Ark564,340.663918,29.725363,0.0245,28.095380332425048,0.0
CrtA,174.794596,-13.845456,0.5562,30.373302655799144,0.0
ESO31-8,46.897271,-72.834044,0.027619,27.990196583652253,0.0
ESO462-9,305.464817,-31.289718,0.019277,27.007146299481086,0.0
ESO499-41,151.480741,-23.056905,0.012816,26.755897775843295,0.0
Fairall9,20.940719,-58.805775,0.0461,29.28636301574649,0.0
FBQSJ0012-1022,3.100097,-10.374037,0.228,29.256728406022106,44.61434566447574
FBQSJ0745+3142,116.423629,31.715727,0.4611,30.4680388586885,45.984199743081525
FBQSJ1010+3003,152.502875,30.055992,0.256429,29.764631762007536,44.892341300355255
FBQSJ1010+4132,152.614698,41.544181,0.6126,30.79079050906659,45.98243849980846
FBQSJ1030+3102,157.746223,31.048812,0.178,29.6797567846644,44.51557892397862
FBQSJ1251+2404,192.926167,24.076467,0.1885,29.325378654060618,44.0953410227069
HE0132-4313,23.57042,-42.973958,0.237,30.186670898876784,0.0
HS0033+4300,9.09573,43.27775,0.12,28.873935778229225,0.0
HS0624+6907,97.510452,69.084412,0.3702,30.776082796877827,0.0
IZw1,13.395558,12.693322,0.0605,29.02333123686585,0.0
IRAS13224-3809,201.330795,-38.414618,0.0667,28.834589888802395,0.0
IRASF04250-5718,66.503005,-57.200506,0.104,29.934064419974806,0.0
IRASF22456-5125,342.171569,-51.164812,0.1,29.641972569691973,0.0
LBQS0003+0146,1.448091,2.050673,0.234,29.70778129785925,44.77674275649755
LBQS0017+0209,5.104457,2.440435,0.401,29.84777432518764,45.072761454459766
LBQS0100+0205,15.804114,2.352768,0.394,30.078774822603123,45.34807617808068
LBQS0307-0101,47.615941,-0.83079,0.080447,28.895601226853465,44.207951459598476
LBQS1132-0302,173.770506,-3.314302,0.236,29.521900720849704,0.0
LBQS1138+0204,175.340631,1.801002,0.3821,29.995618438232405,44.99308131706712
LBQS1144-0115,176.825265,-1.535242,0.3827,29.171970739069142,44.73109893685692
LBQS1230+0947,188.357458,9.523165,0.4159,30.543506981905647,45.50805407687232
LBQS1317-0142,199.959803,-1.967728,0.225,29.394389362670484,0.0
LEDA2172,9.087264,45.6649,0.047643,28.781083412370055,0.0
MR2251-178,343.524522,-17.582035,0.0638,29.620547004052213,0.0
Mrk1018,31.566619,-0.291455,0.04261,27.55741713823924,0.0
Mrk1044,37.523027,-8.998121,0.0161,28.270904493480366,0.0
Mrk106,139.980611,55.360319,0.123366,29.630460238839095,44.568958189906695
Mrk1148,12.978179,17.432921,0.064,29.166453256948458,0.0
Mrk1179,38.343156,27.937048,0.037599,27.96803384281756,0.0
Mrk1253,154.886941,-3.337436,0.049986,28.50929900848852,0.0
Mrk1392,226.485635,3.707311,0.0359,28.805815853656117,0.0
Mrk1513,323.115927,10.138678,0.062,29.275151211666298,0.0
Mrk205,185.433717,75.310638,0.0711,29.4867926438168,0.0
Mrk231,194.059308,56.873677,0.04147,27.797064307320465,0.0
Mrk279,208.264319,69.308181,0.030451,28.090559535567333,0.0
Mrk290,233.968338,57.902645,0.0302,28.593866766309965,0.0
Mrk335,1.5814,20.202951,0.025418,28.60631002816557,0.0
Mrk352,14.972001,31.827023,0.01486,27.442317120901013,0.0
Mrk478,220.531138,35.439709,0.0771,29.701812822835667,0.0
Mrk493,239.790102,35.029861,0.0313,28.098989852865962,0.0
Mrk509,311.040636,-10.723539,0.0344,29.42123397397712,0.0
Mrk813,216.854357,19.831184,0.1105,29.70531443786877,44.7143360587488
Mrk817,219.092017,58.794299,0.031328,29.187470138326184,0.0
Mrk841,226.004963,10.437732,0.036422,28.91714283079708,0.0
Mrk876,243.488244,65.719441,0.129,30.216498223101684,0.0
NGC1275,49.950667,41.511695,0.0175,27.533374461362676,0.0
NGC1566,65.001642,-54.937944,0.0051,26.432443170107895,0.0
NGC2841,140.511105,50.976607,0.5563,31.099553640833033,0.0
NGC3227,155.877395,19.865095,0.0039,26.50322224244601,0.0
NGC3516,166.697764,72.568688,0.0088,27.49174832210624,0.0
NGC3783,174.757133,-37.738611,0.0095,28.2109102122994,0.0
NGC4051,180.79003,44.531308,0.002336,26.25199415071528,0.0
NGC4253,184.610475,29.81294,0.0124,26.00138873062911,0.0
NGC4395,186.453583,33.546864,0.0008,24.201879090950932,0.0
NGC5548,214.498106,25.136852,0.0168,27.87077959567925,0.0
NGC7469,345.815059,8.873917,0.016,28.395936648698655,0.0
NGC863,33.639845,-0.76672,0.026385,27.74963305693524,0.0
NGC985,38.657667000000004,-8.787792,0.04271,29.307475482038978,0.0
PB7192,341.575967,-12.114244,0.6255,30.676374123422296,0.0
PDS456,262.082461,-14.265505,0.185,29.718723018099833,0.0
PG0026+129,7.307097,13.267761,0.1451,29.89032758567586,0.0
PG0044+030,11.774662,3.331885,0.6231,30.68771022898124,0.0
PG0052+251,13.717169,25.427508,0.1543,29.994562951208522,0.0
PG0454-22,74.037183,-21.985944,0.5346,30.75838597488266,0.0
PG0637-752,98.943783,-75.271338,0.651,30.88029108628468,0.0
PG0804+761,122.74436,76.045131,0.1,30.295130278681615,0.0
PG0838+770,131.188752,76.885972,0.132302,29.56443734582378,0.0
PGÂ 0923+20,141.477971,19.901414,0.1922,30.230037541869997,45.2441917160059
PG0947+396,147.701566,39.447354,0.2067,30.069893408928614,44.999869397221104
PG0953+414,149.218311,41.256163,0.2347,30.370260360776278,0.0
PG1001+054,151.0839,5.216778,0.1611,29.539348276806535,44.65090192258225
PG1001+291,151.010894,28.926482,0.3298,30.43185907809993,45.5665763834287
PG1011-040,153.586134,-4.311212,0.058314,29.130060302117425,0.0
PG1049-005,162.964352,-0.854925,0.3591,30.406152364570715,45.74108466950363
PG1114+445,169.276626,44.225931,0.1433,29.505177181619604,44.72057656487297
PG1115+407,169.626263,40.431707,0.1536,29.782508234411512,44.886064097076705
PG1116+215,169.786154,21.321672,0.1765,30.459094871778618,45.619618032925814
PG1121+422,171.163258,42.029188,0.2253,30.114564147620058,45.216104763719024
PG1126-041,172.319661,-4.402019,0.06,29.212098990419257,0.0
PG1202+281,181.175478,27.903298,0.1654,29.39312759296178,44.276281886883325
PG1211+143,183.573648,14.053663,0.0811,29.670707833453974,0.0
PG1216+069,184.83722,6.644027,0.3322,30.577089905903083,0.0
PGÂ 1259+593,195.303821,59.035198,0.4776,30.911693877822795,46.07611032451716
PG1302-102,196.387563,-10.555397,0.2783,30.735751985179398,0.0
PG1307+085,197.445832,8.330045,0.1546,29.862134503834216,44.97256182797147
PG1309+355,198.073971,35.255857,0.1821,29.862299694466024,44.97300263463604
PG1322+659,200.956315,65.696717,0.1674,29.805200254041786,0.0
PG1351+640,208.315963,63.76269,0.0882,29.661679062910117,0.0
PG1352+183,208.648701,18.088194,0.1508,29.748394429157447,44.59002532567602
PG1355-416,209.750767,-41.881288,0.3145,30.503873871589114,0.0
PG1402+26,211.317571,25.926145,0.1633,30.13564531091316,0.0
PG1404+226,211.591223,22.396274,0.0973,29.16710439598826,44.40290386813609
PG1411+44,213.451381,44.003906,0.089,29.54849274598637,0.0
PG1415+451,214.253464,44.935095,0.1151,29.534805881087937,44.136522157749646
PG1416-129,214.765902,-13.179117,0.1294,29.017918276687897,0.0
PG1425+267,216.898367,26.537372,0.3634,30.190377640929125,45.40184802366986
PG1427+48,217.42947,47.790629,0.2199,29.94754447701442,44.72314060022831
PGÂ 1435-06,219.567354,-6.972391,0.126,29.788775632016925,0.0
PG1444+407,221.691419,40.584946,0.267,30.472260043140142,45.44822970224808
PG1448+27,222.786529,27.157482,0.065,28.76806815257306,44.1010275090516
PG1538+47,234.895042,47.592018,0.7723,31.233024253357527,46.277175467165854
PG1544+489,236.375976,48.76915,0.3978,30.48771750332174,45.51758776896131
PG1612+262,243.555,26.071169,0.1308,29.450060961818412,44.47807365106014
PG1626+555,246.983794,55.375443,0.1326,29.89759504732563,0.0
PG2112+05,318.719091,6.128433,0.4608,30.64067862086301,0.0
PG2128-123,322.896924,-12.117999,0.4996,30.867684250028233,0.0
PG2135-148,324.438316,-14.548804,0.2004,29.716010384894116,0.0
PG2141+175,325.898102,17.730219,0.2106,29.760413599919623,0.0
PictorA,79.957179,-45.778848,0.035,27.761489431505343,0.0
PKS0135-247,24.409777,-24.514968,0.835,30.731221805186447,0.0
PKS2300-68,345.931519,-68.127068,0.5158,30.345449618286,0.0
RBS144,15.112901,-51.231692,0.062817,29.20953882719081,0.0
RBS1666,301.470846,-41.578384,0.079632,29.161491406811038,0.0
RBS1763,323.872906,-62.502005,0.059,29.499140408310065,0.0
RBS2005,351.476032,21.88719,0.12,29.487784765793734,0.0
RBS563,69.621638,-61.799711,0.069001,28.81952373680403,0.0
RBS597,73.125436,-29.893138,0.2855,30.285119197591264,0.0
RBS799,146.888405,10.085781,0.13954,29.50318289972945,44.28818892616165
RBS829,151.935666,50.129641,0.212331280112267,29.378455373891423,44.60113608517354
RBS9,1.429469,-50.115234,0.0333,28.475073656103465,0.0
RS1952,347.19,-9.189993,0.193032,29.471083850577873,44.247669495951634
RXJ0044.9+1026,11.244712,10.448051,0.5857,29.528863532964742,0.0
RXJ1230.8+0115,187.708459,1.256271,0.117,30.13723482874056,0.0
SDSSÂ J004342.55+372520.0,10.927295,37.422214,0.08,29.093572725431134,0.0
