Name,RA,DEC,z,LogLnu2500,Z_SDSS,L3000_THB21
003708.46+002855.8,9.285266479386564,0.4821735363945755,3.02295,30.643239685126474,3.033,45.94218592942135
015017.70+002902.4,27.57378606892464,0.4840245939218934,3.00333,31.393176447086972,3.01,46.38185210108061
072047.82+405455.5,110.19927979171491,40.91541823538567,3.04179,30.79175410044003,3.0469999999999997,45.461194922104305
073346.60+465836.2,113.44418322084371,46.97673490042836,2.19711,30.386800886126153,2.2,45.63891677447255
074717.69+483917.4,116.8237394599148,48.65485037608315,1.88349,30.247071875236152,1.89,45.34639675825757
074453.56+420733.3,116.22317560595523,42.125921547063044,3.09209,30.885915151121957,3.097,45.46069182238004
074829.50+393132.0,117.122935167859,39.52557225940171,2.28695,30.262675647743613,2.2840000000000003,45.36712990540813
074141.08+462707.4,115.4211801794142,46.45206446901793,3.05308,31.191920083379543,3.049,46.04644903448938
075807.97+492901.7,119.53322950785936,49.483815770071885,3.10186,31.419107876595838,3.102,46.03321697414136
081706.50+523009.4,124.27711039852112,52.50262799257832,2.26348,30.24447108144627,2.2569999999999997,45.47208689455519
081318.91+463353.1,123.32880216071558,46.564770305838096,1.9815,30.397268980301718,1.983,45.09915112323154
075758.47+294600.3,119.49364530497904,29.766755692820396,3.03935,30.565995541453823,3.0410000000000004,45.71583677326276
075649.08+353438.1,119.20451377302945,35.577269768408996,2.50508,30.433502706997885,2.492,45.735660269330396
080550.37+310536.3,121.45991291956196,31.09343316667041,3.14875,31.545088073649325,3.1489999999999996,46.45011390148222
080951.79+343447.0,122.46583168465159,34.57974544924771,3.10497,30.939502396490774,3.1,45.86482778804174
081108.19+360259.9,122.78413505716783,36.049999922105975,2.12861,30.166225303277763,2.129,45.617626290499615
081014.82+324942.2,122.56178902431299,32.828400552877035,2.27615,30.58368208052992,2.275,45.83815791297871
082543.23+383829.2,126.4301410262487,38.641446489168,3.00213,31.08056658078653,3.0039999999999996,46.05976687780344
083632.09+363537.6,129.13373828042506,36.59378348428876,3.04099,31.492375360164658,3.06,46.82179708165561
083115.90+381424.3,127.8162698368568,38.24008462889443,3.07315,31.014018602457263,3.063,45.93593273471203
083835.27+401131.4,129.64698277079182,40.192057106208466,2.17359,30.460336955064534,2.168,45.533515033799574
091954.44-020524.6,139.97687317003502,-2.0901933730721707,2.20409,29.92884058734714,2.2,45.40545496490341
091353.33-004405.4,138.47221445815785,-0.7348387197214422,2.2642,30.12699323856696,2.263,45.32858155705894
091716.00-003057.4,139.3166910532087,-0.5159684416235201,2.35686,30.288301256676334,2.354,45.59409727075482
093512.48-021501.9,143.80200482411968,-2.250530372213273,1.96095,29.921310348626676,1.944,45.25478358257902
093223.86-015006.1,143.09942931109168,-1.8350429802218875,1.55071,29.821958226155637,1.55,45.45788370783331
093002.85-024350.0,142.51190644555373,-2.73057547087901,2.27094,30.317034026258582,2.273,45.49132261669969
104049.16-003628.4,160.2048413130808,-0.6079141782971217,2.27431,30.591532189479615,2.267,45.52411945760908
121913.54-024125.5,184.8064292826756,-2.690428730305352,2.28797,30.170594631597176,2.29,45.40825403345379
121520.16-022619.2,183.83402336737407,-2.4386927773768003,2.25717,29.98100567324095,2.251,45.75383274887972
091307.46-020936.2,138.281108114767,-2.160062830789583,2.18255,30.37952054061133,2.191,45.87160993583004
092427.86-002925.9,141.1161035157001,-0.4905540621150941,2.0876,30.220003386262754,2.105,45.5526397597604
092829.00-005624.1,142.1208413060492,-0.9400405247372414,1.79012,29.913102616746592,1.791,45.024724492653405
094124.66-021000.1,145.3527696527345,-2.16669625311921,1.74093,29.72305054843823,1.739,45.37418615328487
094604.83-004234.0,146.5201290061536,-0.7094460465329411,2.40053,30.434688882974022,2.383,45.51937298362798
101452.07-031047.2,153.71696200250526,-3.179783129155215,1.75015,30.196595785169905,1.756,45.33110409825947
101757.52-013347.8,154.48968181093636,-1.563295997595638,3.01937,31.604969443449534,3.0180000000000002,46.109056662453774
102032.59-005956.4,155.13582808069802,-0.9990005173170596,3.03024,31.418079591864256,3.029,45.98976924123659
103015.07-025032.8,157.5628219372247,-2.8424588857064506,2.16456,30.443941282450943,2.168,45.60708406902148
104611.04-003834.8,161.5460346035586,-0.643010718534147,2.10722,30.47914648790301,2.1109999999999998,45.55516911553835
110116.21-023419.4,165.31757196316067,-2.5720637760420897,2.24491,30.351875507093254,2.246,45.30099478569974
111338.47-013948.5,168.4103068453656,-1.6634744266566337,3.15218,30.59350915710614,3.1439999999999997,45.716602762867765
113330.91-022130.1,173.3787945173909,-2.3583742453495264,2.3343,30.48452443377154,2.336,45.91488130978435
114842.43-023948.0,177.17679544167245,-2.6633417262514154,2.20233,30.053741040923732,2.197,45.332139648431706
122920.66-012710.0,187.33611309609745,-1.4527932679342317,3.01643,30.784926208818163,3.0189999999999997,45.754743600567984
082021.07+400926.6,125.08782471000698,40.15740806873423,3.12751,31.147764641837348,3.13,46.30220635370511
082435.65+413402.9,126.14855020377041,41.56747417188343,2.29153,30.316706138920523,2.293,45.52168451706783
083952.69+030816.2,129.96957703879372,3.137847031845572,1.66489,30.01185894013331,1.656,45.117901056972016
083806.93+045321.7,129.52888447225158,4.889366295371719,2.40611,30.41079703628361,2.41,45.514583396542456
085821.56-002412.2,134.58986993489242,-0.403412612748126,2.23568,30.561858934953314,2.24,44.89554341324335
090221.31+013707.6,135.58879758076503,1.6187843920878755,2.17539,30.458786916597667,2.174,45.57872435804441
090133.81+023306.4,135.39090889599967,2.5517808032748763,2.30227,30.491914490069462,2.303,45.45537104553301
090011.78+000104.7,135.04910171352864,0.017999284067900998,2.46565,30.558259647788113,2.4659999999999997,45.76440540806391
090701.14+010147.2,136.75478579992532,1.0297893123344786,1.77986,30.23316215451404,1.7830000000000001,45.20078280275146
090420.07+004458.2,136.08365021854587,0.7495198845511386,2.33029,31.069675273354136,2.303,45.59851067678159
091917.34-002909.5,139.82226073536492,-0.4859932799230106,2.29057,30.365111455372578,2.29,45.343902391224226
