common_name,inst_family,obs_id,filename,file_size_mb,status
0107-0019,STIS,,o8ex04010_x1d.fits,0.078,ok
0107-0019,STIS,,o8ex04020_x1d.fits,0.078,ok
0115+027,FOS,,y1f90803t_c0f.fits,0.127,ok
0115+027,FOS,,y1f90803t_c1f.fits,0.127,ok
0115+027,FOS,,y1f90803t_c2f.fits,0.127,ok
0115+027,FOS,,y1f90803t_c4f.fits,0.127,ok
0115+027,FOS,,y1f90803t_c5f.fits,0.127,ok
0115+027,FOS,,y1f90803t_c7f.fits,0.127,ok
0115+027,FOS,,y1f90804t_c0f.fits,0.066,ok
0115+027,FOS,,y1f90804t_c1f.fits,0.066,ok
0115+027,FOS,,y1f90804t_c2f.fits,0.066,ok
0115+027,FOS,,y1f90804t_c4f.fits,0.066,ok
0115+027,FOS,,y1f90804t_c5f.fits,0.066,ok
0115+027,FOS,,y1f90804t_c7f.fits,0.066,ok
0152+0023,STIS,,o8ex13010_x1d.fits,0.078,ok
0152+0023,STIS,,o8ex13020_x1d.fits,0.078,ok
0253-0138,FOS,,y1hh0d02t_c0f.fits,0.04,ok
0253-0138,FOS,,y1hh0d02t_c1f.fits,0.04,ok
0253-0138,FOS,,y1hh0d02t_c2f.fits,0.04,ok
0253-0138,FOS,,y1hh0d02t_c4f.fits,0.04,ok
0253-0138,FOS,,y1hh0d02t_c5f.fits,0.04,ok
0253-0138,FOS,,y1hh0d02t_c7f.fits,0.04,ok
0253-0138,FOS,,y1hh0e02t_c0f.fits,0.066,ok
0253-0138,FOS,,y1hh0e02t_c1f.fits,0.066,ok
0253-0138,FOS,,y1hh0e02t_c2f.fits,0.066,ok
0253-0138,FOS,,y1hh0e02t_c4f.fits,0.066,ok
0253-0138,FOS,,y1hh0e02t_c5f.fits,0.066,ok
0253-0138,FOS,,y1hh0e02t_c7f.fits,0.066,ok
0959+68W1,FOS,,y1450703t_c0f.fits,0.668,ok
0959+68W1,FOS,,y1450703t_c1f.fits,0.668,ok
0959+68W1,FOS,,y1450703t_c2f.fits,0.668,ok
0959+68W1,FOS,,y1450703t_c4f.fits,0.668,ok
0959+68W1,FOS,,y1450703t_c5f.fits,0.668,ok
0959+68W1,FOS,,y1450703t_c7f.fits,0.668,ok
0959+68W1,FOS,,y1450704t_c0f.fits,0.668,ok
0959+68W1,FOS,,y1450704t_c1f.fits,0.668,ok
0959+68W1,FOS,,y1450704t_c2f.fits,0.668,ok
0959+68W1,FOS,,y1450704t_c4f.fits,0.668,ok
0959+68W1,FOS,,y1450704t_c5f.fits,0.668,ok
0959+68W1,FOS,,y1450704t_c7f.fits,0.668,ok
0959+68W1,FOS,,y1450705t_c0f.fits,0.415,ok
0959+68W1,FOS,,y1450705t_c1f.fits,0.415,ok
0959+68W1,FOS,,y1450705t_c2f.fits,0.415,ok
0959+68W1,FOS,,y1450705t_c4f.fits,0.415,ok
0959+68W1,FOS,,y1450705t_c5f.fits,0.415,ok
0959+68W1,FOS,,y1450705t_c7f.fits,0.415,ok
0959+68W1,FOS,,y1450706t_c0f.fits,0.158,ok
0959+68W1,FOS,,y1450706t_c1f.fits,0.158,ok
0959+68W1,FOS,,y1450706t_c2f.fits,0.158,ok
0959+68W1,FOS,,y1450706t_c4f.fits,0.158,ok
0959+68W1,FOS,,y1450706t_c5f.fits,0.158,ok
0959+68W1,FOS,,y1450706t_c7f.fits,0.158,ok
1130+106Y,FOS,,y0rv0603t_c0f.fits,0.392,ok
1130+106Y,FOS,,y0rv0603t_c1f.fits,0.392,ok
1130+106Y,FOS,,y0rv0603t_c2f.fits,0.392,ok
1130+106Y,FOS,,y0rv0603t_c4f.fits,0.392,ok
1130+106Y,FOS,,y0rv0603t_c5f.fits,0.392,ok
1130+106Y,FOS,,y0rv0603t_c7f.fits,0.392,ok
1130+106Y,FOS,,y0rv0604t_c0f.fits,0.392,ok
1130+106Y,FOS,,y0rv0604t_c1f.fits,0.392,ok
1130+106Y,FOS,,y0rv0604t_c2f.fits,0.392,ok
1130+106Y,FOS,,y0rv0604t_c4f.fits,0.392,ok
1130+106Y,FOS,,y0rv0604t_c5f.fits,0.392,ok
1130+106Y,FOS,,y0rv0604t_c7f.fits,0.392,ok
1130+106Y,FOS,,y0rv0605t_c0f.fits,0.392,ok
