calib_level,common_name,dataRights,dataURI,dataproduct_type,description,filters,inst_family,obsID,obs_collection,obs_id,parent_obsid,productDocumentationURL,productFilename,productGroupDescription,productSubGroupDescription,productType,project,proposal_id,prvversion,size,type
2,2MASS J12465925+3126196,PUBLIC,mast:HST/product/lewr10r4q_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G140L,COS,150341237,HST,lewr10r4q,150341241,,lewr10r4q_x1d.fits,,X1D,SCIENCE,CALCOS,17217,3.6.1,1719360,S
2,2MASS J12465925+3126196,PUBLIC,mast:HST/product/lewr10r2q_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G140L,COS,150341238,HST,lewr10r2q,150341241,,lewr10r2q_x1d.fits,,X1D,SCIENCE,CALCOS,17217,3.6.1,1719360,S
2,2MASS J12465925+3126196,PUBLIC,mast:HST/product/lewr10r0q_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G140L,COS,150341239,HST,lewr10r0q,150341241,,lewr10r0q_x1d.fits,,X1D,SCIENCE,CALCOS,17217,3.6.1,1719360,S
2,2MASS J12465925+3126196,PUBLIC,mast:HST/product/lewr10qyq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G140L,COS,150341240,HST,lewr10qyq,150341241,,lewr10qyq_x1d.fits,,X1D,SCIENCE,CALCOS,17217,3.6.1,1719360,S
3,2MASS J12465925+3126196,PUBLIC,mast:HST/product/lewr10010_x1dsum.fits,spectrum,DADS XSM file - Calibrated combined extracted 1D spectrum COS,G140L,COS,150341241,HST,lewr10010,150341241,,lewr10010_x1dsum.fits,Minimum Recommended Products,X1DSUM,SCIENCE,CALCOS,17217,3.6.1,930240,D
2,J2203+3145,PUBLIC,mast:HST/product/leo924xrq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G160M,COS,71230843,HST,leo924xrq,71230906,,leo924xrq_x1d.fits,,X1D,SCIENCE,CALCOS,16679,3.6.1,3389760,S
2,J2203+3145,PUBLIC,mast:HST/product/leo924xnq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G160M,COS,71230845,HST,leo924xnq,71230906,,leo924xnq_x1d.fits,,X1D,SCIENCE,CALCOS,16679,3.6.1,3389760,S
2,J2203+3145,PUBLIC,mast:HST/product/leo924xvq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G160M,COS,71230846,HST,leo924xvq,71230906,,leo924xvq_x1d.fits,,X1D,SCIENCE,CALCOS,16679,3.6.1,3389760,S
2,J2203+3145,PUBLIC,mast:HST/product/leo924xtq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G160M,COS,71230848,HST,leo924xtq,71230906,,leo924xtq_x1d.fits,,X1D,SCIENCE,CALCOS,16679,3.6.1,3389760,S
3,J2203+3145,PUBLIC,mast:HST/product/leo924010_x1dsum.fits,spectrum,DADS XSM file - Calibrated combined extracted 1D spectrum COS,G160M,COS,71230906,HST,leo924010,71230906,,leo924010_x1dsum.fits,Minimum Recommended Products,X1DSUM,SCIENCE,CALCOS,16679,3.6.1,1817280,D
