intentType,obs_collection,provenance_name,instrument,project,filters,wave_region,mast_target_name,target_classification,obs_id,ra_deg,dec_deg,dataproduct_type,proposal_pi,calib_level,t_min,t_max,t_exptime,wavelength_region,em_min,em_max,obs_title,t_obs_release,proposal_id,proposal_type,sequence_number,s_region,jpegURL,dataURL,dataRights,mtFlag,srcDen,obsid,objID,wave_min,wave_max,common_name,inst_family
science,HST,CALCOS,COS/FUV,HST,G140L,UV,Q0043+4234,EXT-MEDIUM;ABSORPTION LINE SYSTEM - EXTRAGALACTIC,lb6f09kxq,10.97909916667,42.57507777778,spectrum,"Turnshek, David A.",1,55444.60622789352,55444.61448024306,713.0,UV,123.0,205.0,Probing the Outer Regions of M31 with QSO Absorption Lines,55809.87807862,11658,GO,,CIRCLE 10.97909917 42.5750778 0.00034722,,mast:HST/product/lb6f09kxq_rawacq.fits,PUBLIC,False,,24138571,891454057,123.0,205.0,2MASS J00435499+4234302,COS
science,HST,CALCOS,COS/FUV,HST,G140L,UV,Q0043+4234,EXT-MEDIUM;ABSORPTION LINE SYSTEM - EXTRAGALACTIC,lb6f09kyq,10.97909916667,42.57507777778,spectrum,"Turnshek, David A.",1,55444.61536894676,55444.617290243055,166.0,UV,123.0,205.0,Probing the Outer Regions of M31 with QSO Absorption Lines,55809.87887729,11658,GO,,CIRCLE 10.97909917 42.5750778 0.00034722,,mast:HST/product/lb6f09kyq_rawacq.fits,PUBLIC,False,,24138572,891454065,123.0,205.0,2MASS J00435499+4234302,COS
science,HST,CALCOS,COS/FUV,HST,G140L,UV,Q0043+4234,EXT-MEDIUM;ABSORPTION LINE SYSTEM - EXTRAGALACTIC,lb6f09kzq,10.97909916667,42.57507777778,spectrum,"Turnshek, David A.",1,55444.619398842595,55444.619665046295,23.0,UV,123.0,205.0,Probing the Outer Regions of M31 with QSO Absorption Lines,55809.87913192,11658,GO,,CIRCLE 10.97909917 42.5750778 0.00034722,,mast:HST/product/lb6f09kzq_rawacq.fits,PUBLIC,False,,24138573,891468403,123.0,205.0,2MASS J00435499+4234302,COS
science,HST,CALCOS,COS/FUV,HST,G160M,UV,Q0043+4234,ISM;ABSORPTION LINE SYSTEM;ABSORPTION LINE SYSTEM - EXTRAGALACTIC;ABSORPTION LINE SYSTEM - GALACTIC,leq433030,10.9791,42.57508055556,spectrum,"Lehner, Nicolas",3,59832.501645752316,59832.592351770836,4648.0,UV,140.5,177.5,Connecting the Smoke to the Fire: Mapping Andromedas Inner Circumgalactic Medium,59833.17498837,16730,GO,,POLYGON 10.97863879 42.57515279 10.97863879 42.57500841 10.97871854 42.57487651 10.97886424 42.5747799 10.97905071 42.57473528 10.97924571 42.57475037 10.9794155 42.57482256 10.97953075 42.57493937 10.97957152 42.5750806 10.97953075 42.57522183 10.97941551 42.57533863 10.97924571 42.57541083 10.97905071 42.57542592 10.97886424 42.5753813 10.97871853 42.57528469 10.97863879 42.57515279 10.97863879 42.57515279,,mast:HST/product/leq433030_x1dsum.fits,PUBLIC,False,,92403733,892024256,140.5,177.5,2MASS J00435499+4234302,COS
science,HST,CALCOS,COS/FUV,HST,G140L,UV,Q0043+4234,EXT-MEDIUM;ABSORPTION LINE SYSTEM - EXTRAGALACTIC,lb6f09030,10.97909916667,42.57507777778,spectrum,"Turnshek, David A.",3,55444.62124957176,55444.69170123843,3454.5280000000002,UV,123.0,205.0,Probing the Outer Regions of M31 with QSO Absorption Lines,55809.88564808,11658,GO,,POLYGON 10.97863796 42.57514999 10.97863796 42.57500561 10.97871771 42.57487371 10.97886341 42.5747771 10.97904988 42.57473248 10.97924488 42.57474757 10.97941467 42.57481976 10.97952992 42.57493657 10.97957069 42.5750778 10.97952992 42.57521903 10.97941468 42.57533583 10.97924488 42.57540803 10.97904988 42.57542312 10.97886341 42.5753785 10.9787177 42.57528189 10.97863796 42.57514999 10.97863796 42.57514999,mast:HST/product/lb6f09030_x1dsum.png,mast:HST/product/lb6f09030_x1dsum.fits,PUBLIC,False,,24842006,1006553696,123.0,205.0,2MASS J00435499+4234302,COS
science,HST,CALCOS,COS/NUV,HST,G230L,UV,Q0043+4234,EXT-MEDIUM;ABSORPTION LINE SYSTEM - EXTRAGALACTIC,lb6f09040,10.97909916667,42.57507777778,spectrum,"Turnshek, David A.",3,55444.70289181713,55444.84193116898,6137.344,UV,170.0,320.0,Probing the Outer Regions of M31 with QSO Absorption Lines,55809.96855318,11658,GO,,POLYGON 10.97863796 42.57514999 10.97863796 42.57500561 10.97871771 42.57487371 10.97886341 42.5747771 10.97904988 42.57473248 10.97924488 42.57474757 10.97941467 42.57481976 10.97952992 42.57493657 10.97957069 42.5750778 10.97952992 42.57521903 10.97941468 42.57533583 10.97924488 42.57540803 10.97904988 42.57542312 10.97886341 42.5753785 10.9787177 42.57528189 10.97863796 42.57514999 10.97863796 42.57514999,mast:HST/product/lb6f09040_x1dsum.png,mast:HST/product/lb6f09040_x1dsum.fits,PUBLIC,False,,24842007,1006558863,170.0,320.0,2MASS J00435499+4234302,COS
science,HST,CALCOS,COS/FUV,HST,G130M,UV,Q0043+4234,ISM;ABSORPTION LINE SYSTEM;ABSORPTION LINE SYSTEM - EXTRAGALACTIC;ABSORPTION LINE SYSTEM - GALACTIC,leq429050,10.9791,42.57508055556,spectrum,"Lehner, Nicolas",3,59826.285777627316,59826.4431040162,7160.415999999999,UV,115.0,145.0,Connecting the Smoke to the Fire: Mapping Andromedas Inner Circumgalactic Medium,59826.66476848,16730,GO,,POLYGON 10.97863879 42.57515279 10.97863879 42.57500841 10.97871854 42.57487651 10.97886424 42.5747799 10.97905071 42.57473528 10.97924571 42.57475037 10.9794155 42.57482256 10.97953075 42.57493937 10.97957152 42.5750806 10.97953075 42.57522183 10.97941551 42.57533863 10.97924571 42.57541083 10.97905071 42.57542592 10.97886424 42.5753813 10.97871853 42.57528469 10.97863879 42.57515279 10.97863879 42.57515279,mast:HST/product/leq429050_x1dsum.png,mast:HST/product/leq429050_x1dsum.fits,PUBLIC,False,,90865081,1007665247,115.0,145.0,2MASS J00435499+4234302,COS
science,HST,CALCOS,COS/FUV,HST,G160M,UV,Q0043+4234,ISM;ABSORPTION LINE SYSTEM;ABSORPTION LINE SYSTEM - EXTRAGALACTIC;ABSORPTION LINE SYSTEM - GALACTIC,leq430050,10.9791,42.57508055556,spectrum,"Lehner, Nicolas",3,59831.644377233795,59831.79930806713,7121.535999999999,UV,140.5,177.5,Connecting the Smoke to the Fire: Mapping Andromedas Inner Circumgalactic Medium,59832.49195605,16730,GO,,POLYGON 10.97863879 42.57515279 10.97863879 42.57500841 10.97871854 42.57487651 10.97886424 42.5747799 10.97905071 42.57473528 10.97924571 42.57475037 10.9794155 42.57482256 10.97953075 42.57493937 10.97957152 42.5750806 10.97953075 42.57522183 10.97941551 42.57533863 10.97924571 42.57541083 10.97905071 42.57542592 10.97886424 42.5753813 10.97871853 42.57528469 10.97863879 42.57515279 10.97863879 42.57515279,mast:HST/product/leq430050_x1dsum.png,mast:HST/product/leq430050_x1dsum.fits,PUBLIC,False,,92143740,1007666113,140.5,177.5,2MASS J00435499+4234302,COS
science,HST,CALCOS,COS/FUV,HST,G130M,UV,Q0043+4234,ISM;ABSORPTION LINE SYSTEM;ABSORPTION LINE SYSTEM - EXTRAGALACTIC;ABSORPTION LINE SYSTEM - GALACTIC,leq428050,10.9791,42.57508055556,spectrum,"Lehner, Nicolas",3,59847.70908796296,59847.80026855324,4687.3279999999995,UV,115.0,145.0,Connecting the Smoke to the Fire: Mapping Andromedas Inner Circumgalactic Medium,59848.25425919,16730,GO,,POLYGON 10.97863879 42.57515279 10.97863879 42.57500841 10.97871854 42.57487651 10.97886424 42.5747799 10.97905071 42.57473528 10.97924571 42.57475037 10.9794155 42.57482256 10.97953075 42.57493937 10.97957152 42.5750806 10.97953075 42.57522183 10.97941551 42.57533863 10.97924571 42.57541083 10.97905071 42.57542592 10.97886424 42.5753813 10.97871853 42.57528469 10.97863879 42.57515279 10.97863879 42.57515279,mast:HST/product/leq428050_x1dsum.png,mast:HST/product/leq428050_x1dsum.fits,PUBLIC,False,,94979700,1007666272,115.0,145.0,2MASS J00435499+4234302,COS
science,HST,CALCOS,COS/FUV,HST,G160M,UV,Q0043+4234,ISM;ABSORPTION LINE SYSTEM;ABSORPTION LINE SYSTEM - EXTRAGALACTIC;ABSORPTION LINE SYSTEM - GALACTIC,leq431030,10.9791,42.57508055556,spectrum,"Lehner, Nicolas",3,59829.46015277778,59829.550812615744,4645.28,UV,140.5,177.5,Connecting the Smoke to the Fire: Mapping Andromedas Inner Circumgalactic Medium,59829.78318278,16730,GO,,POLYGON 10.97863879 42.57515279 10.97863879 42.57500841 10.97871854 42.57487651 10.97886424 42.5747799 10.97905071 42.57473528 10.97924571 42.57475037 10.9794155 42.57482256 10.97953075 42.57493937 10.97957152 42.5750806 10.97953075 42.57522183 10.97941551 42.57533863 10.97924571 42.57541083 10.97905071 42.57542592 10.97886424 42.5753813 10.97871853 42.57528469 10.97863879 42.57515279 10.97863879 42.57515279,mast:HST/product/leq431030_x1dsum.png,mast:HST/product/leq431030_x1dsum.fits,PUBLIC,False,,91407687,1007666334,140.5,177.5,2MASS J00435499+4234302,COS
