mast_target_name,ra_deg,dec_deg,em_min_aa,em_max_aa,obs_id,t_exptime,instrument,target_classification,proposal_id,calib_level,query_classif
2MASX J02451349+1047230,41.30614103652,10.789680635830004,1131.7459,1468.3683,hst_hsla_2masxj02451349p1047230--0416,7609.504000000001,COS,UAT=BL Lacertae objects; TIER1=Galaxy; TIER2=Active galaxy; TIER3=BL Lac,12275,3,*Active galaxy*
2MASS J23015199-5508308,345.46675553837,-55.14190621041,1135.9071,1468.0469000000003,hst_hsla_2massj23015199-5508308--1115,5185.76,COS,UAT=Seyfert galaxies; TIER1=Galaxy; TIER2=Active galaxy; TIER3=Seyfert galaxy,13444,3,*Active galaxy*
SDSS J103138.41+475333.5,157.91005217966,47.89265224215,786.1327,1954.9598,hst_hsla_sdssj103138d41p475333d5--2797,1637.92,COS,UAT=Quasars; TIER1=Galaxy; TIER2=Active galaxy; TIER3=Quasar,16318,3,*Active galaxy*
SDSS J073142.37+392623.7,112.92659214109,39.43991472862,1114.0005,2282.5533,hst_hsla_sdssj073142d37p392623d7--3754,1199.84,COS,UAT=Seyfert galaxies; TIER1=Galaxy; TIER2=Active galaxy; TIER3=Seyfert galaxy,17800,3,*Active galaxy*
KISS F1205-5985,181.69791666666663,29.342777777777776,806.4261999999999,1952.9821,hst_hsla_kissf1205-5985--3613,6976.096,COS,UAT=Emission line galaxies; TIER1=Galaxy; TIER2=Active galaxy; TIER3=Emission line galaxy,17490,3,*Active galaxy*
QSO J0925+4004,141.47794415057,40.07060218277,1163.014,1796.043,hst_hsla_qsoj0925p4004--0237,8068.736000000001,COS,UAT=Quasars; TIER1=Galaxy; TIER2=Active galaxy; TIER3=Quasar,11598,3,*Active galaxy*
SDSS J081420.81+303050.5,123.58669097488,30.51401821376,1113.061,2281.6981,hst_hsla_sdssj081420d81p303050d5--3756,1199.8719999999998,COS,UAT=Seyfert galaxies; TIER1=Galaxy; TIER2=Active galaxy; TIER3=Seyfert galaxy,17800,3,*Active galaxy*
2MASX J13245464+4347566,201.22769166666663,43.79908055555556,1134.2734,1458.4466999999997,hst_hsla_2masxj13245464p4347566--0259,2300.384,COS,UAT=Emission line galaxies; TIER1=Galaxy; TIER2=Active galaxy; TIER3=Emission line galaxy,11522,3,*Active galaxy*
Ton 1187,153.26325610935,35.856595108760004,1169.8558,1468.0291000000002,hst_hsla_ton1187--0431,1958.4,COS,UAT=Seyfert galaxies; TIER1=Galaxy; TIER2=Active galaxy; TIER3=Seyfert galaxy,12275,3,*Active galaxy*
[VV2006] J153541.2-001622,233.92162129617,-0.2727058465799999,1150.3016,2280.1567,hst_hsla_bvv2006bj153541d2-001622--2078,2218.3360000000002,COS,UAT=Quasars; TIER1=Galaxy; TIER2=Active galaxy; TIER3=Quasar,15075,3,*Active galaxy*
[VV98] J130544.4+530137,196.43468018434,53.02674364319,30.7746,2439.466,hst_hsla_bvv98bj130544d4p530137--3305,7549.312,COS,UAT=Quasars; TIER1=Galaxy; TIER2=Active galaxy; TIER3=Quasar,17211,3,*Active galaxy*
[VV2006] J101803.6+410009,154.51480666871,41.00288353028,1129.7554,1429.4698,hst_hsla_bvv2006bj101803d6p410009--2025,15907.135999999999,COS,UAT=Quasars; TIER1=Galaxy; TIER2=Active galaxy; TIER3=Quasar,15196,3,*Active galaxy*
[VV2006] J110155.7+105301,165.48226603104,10.88398526229,1112.322,2240.5062,hst_hsla_bvv2006bj110155d7p105301--0060,7157.408,COS,UAT=Quasars; TIER1=Galaxy; TIER2=Active galaxy; TIER3=Quasar,11742,3,*Active galaxy*
2MASS J12373450+2538196,189.39384718035,25.63886735512,1129.711,1429.5957000000003,hst_hsla_2massj12373450p2538196--2018,8616.192000000001,COS,UAT=Quasars; TIER1=Galaxy; TIER2=Active galaxy; TIER3=Quasar,15196,3,*Active galaxy*
Mrk 273,206.1756613542239,55.88692396600423,1064.9761,1367.6171,hst_hsla_mrk273--2505,4086.336,COS,UAT=Seyfert galaxies; TIER1=Galaxy; TIER2=Active galaxy; TIER3=Seyfert galaxy,15662,3,*Active galaxy*
2MASS J11061222+2927307,166.55103249359,29.45853550978,1134.055,1472.8527000000001,hst_hsla_2massj11061222p2927307--1269,10198.336,COS,UAT=Seyfert galaxies; TIER1=Galaxy; TIER2=Active galaxy; TIER3=Seyfert galaxy,13749,3,*Active galaxy*
MCG-02-16-004,93.14501287594,-14.25775198087,1131.7163,1468.2925999999998,hst_hsla_mcg-02-16-004--0423,7609.568000000001,COS,UAT=Seyfert galaxies; TIER1=Galaxy; TIER2=Active galaxy; TIER3=Seyfert galaxy,12275,3,*Active galaxy*
Mrk 272,205.500369,42.760007,1134.1362,1458.562,hst_hsla_mrk272--0262,2300.384,COS,UAT=Emission line galaxies; TIER1=Galaxy; TIER2=Active galaxy; TIER3=Emission line galaxy,11522,3,*Active galaxy*
2MASS J12465925+3126196,191.74698033877,31.438799941980008,781.824,1952.0346999999997,hst_hsla_2massj12465925p3126196--3267,2072.0,COS,UAT=Seyfert galaxies; TIER1=Galaxy; TIER2=Active galaxy; TIER3=Seyfert galaxy,17217,3,*Active galaxy*
2MASX J10325260+4926128,158.2191546401,49.43690154641,1171.8997,2282.2319,hst_hsla_2masxj10325260p4926128--3763,299.904,COS,UAT=Seyfert galaxies; TIER1=Galaxy; TIER2=Active galaxy; TIER3=Seyfert galaxy,17800,3,*Active galaxy*
2MASX J15251198-1714383,231.29998501618,-17.244059273469997,1131.6002,1468.2314,hst_hsla_2masxj15251198-1714383--0421,14615.072,COS,UAT=LINER galaxies; TIER1=Galaxy; TIER2=Active galaxy; TIER3=LINER,12275,3,*Active galaxy*
[VV2006] J113245.5+431638,173.18961572968,43.27721828325,1112.2224,2239.2467,hst_hsla_bvv2006bj113245d5p431638--2086,2314.304,COS,UAT=Quasars; TIER1=Galaxy; TIER2=Active galaxy; TIER3=Quasar,15075,3,*Active galaxy*
4C 31.63,330.81239867917,31.76063040923,1381.4907,1754.7514999999999,hst_hsla_4c31d63--2994,3623.5519999999997,COS,UAT=BL Lacertae objects; TIER1=Galaxy; TIER2=Active galaxy; TIER3=BL Lac,16679,3,*Active galaxy*
Ton 151,199.016312,29.38168,1134.4421,1458.5852,hst_hsla_ton151--0258,2222.3360000000002,COS,UAT=Radio galaxies; TIER1=Galaxy; TIER2=Active galaxy; TIER3=Radio galaxy,11522,3,*Active galaxy*
QSO J2257+1340,344.40919459679,13.67930597761,1134.4414,1796.3584,hst_hsla_qsoj2257p1340--0244,7702.912,COS,UAT=Quasars; TIER1=Galaxy; TIER2=Active galaxy; TIER3=Quasar,11598,3,*Active galaxy*
LEDA 3088106,133.33114414299,38.87749543364,1112.6598,2282.7364,hst_hsla_leda3088106--3757,1199.936,COS,UAT=Seyfert galaxies; TIER1=Galaxy; TIER2=Active galaxy; TIER3=Seyfert galaxy,17800,3,*Active galaxy*
LEDA 35238,171.84210889699,60.74838269562999,1169.773,1473.0616999999997,hst_hsla_leda35238--1405,3030.592,COS,UAT=LINER galaxies; TIER1=Galaxy; TIER2=Active galaxy; TIER3=LINER,13654,3,*Active galaxy*
LEDA 2344310,219.03008125525,49.48294079501,1113.1013,2282.3417,hst_hsla_leda2344310--3766,1199.968,COS,UAT=Seyfert galaxies; TIER1=Galaxy; TIER2=Active galaxy; TIER3=Seyfert galaxy,17800,3,*Active galaxy*
IRAS 16087+4308,242.5850919166667,43.00975572222222,1134.3731,1458.629,hst_hsla_iras16087p4308--0366,2284.384,COS,UAT=Radio galaxies; TIER1=Galaxy; TIER2=Active galaxy; TIER3=Radio galaxy,12027,3,*Active galaxy*
SDSS J103226.95+271755.2,158.11232414477,27.29867501894,1382.424,1754.7796,hst_hsla_sdssj103226d95p271755d2--1628,1799.424,COS,UAT=Emission line galaxies; TIER1=Galaxy; TIER2=Active galaxy; TIER3=Emission line galaxy,14201,3,*Active galaxy*
UGC 10832,260.68255752993,62.16609316012,1134.3162,1468.1789,hst_hsla_ugc10832--0570,1948.2559999999999,COS,UAT=Seyfert galaxies; TIER1=Galaxy; TIER2=Active galaxy; TIER3=Seyfert galaxy,12276,3,*Active galaxy*
SDSS J121044.09+164533.1,182.68373897719,16.75918608761,1130.2572,1429.5699,hst_hsla_sdssj121044d09p164533d1--3451,7417.536,COS,UAT=Seyfert galaxies; TIER1=Galaxy; TIER2=Active galaxy; TIER3=Seyfert galaxy,17093,3,*Active galaxy*
NVSS J080650+523506,121.71169511367,52.5853404059,1131.7202,1434.6045,hst_hsla_nvssj080650p523506--0877,932.032,COS,UAT=Radio galaxies; TIER1=Galaxy; TIER2=Active galaxy; TIER3=Radio galaxy,12533,3,*Active galaxy*
Mrk 1450,174.64861511560335,57.87411619772833,1065.329,1434.4987999999998,hst_hsla_mrk1450--1347,4422.72,COS,UAT=Active galactic nuclei; TIER1=Galaxy; TIER2=Active galaxy; TIER3=AGN,13697,3,*Active galaxy*
SWIFT J2325.6+2157,351.47604184719995,21.88718659961,1131.3114,1802.3665,hst_hsla_swiftj2325d6p2157--1646,8213.055999999999,COS,UAT=Seyfert galaxies; TIER1=Galaxy; TIER2=Active galaxy; TIER3=Seyfert galaxy,14268,3,*Active galaxy*
2MASS J10233966+5233496,155.91523487788,52.5637963175,50.142700000000005,2439.09,hst_hsla_2massj10233966p5233496--3563,1448.9600000000003,COS,UAT=Seyfert galaxies; TIER1=Galaxy; TIER2=Active galaxy; TIER3=Seyfert galaxy,17433,3,*Active galaxy*
ZTF J104201.80+181527.8,160.50753625733,18.25769359133,1130.6832,1429.3958,hst_hsla_ztfj104201d80p181527d8--3453,7417.504,COS,UAT=Quasars; TIER1=Galaxy; TIER2=Active galaxy; TIER3=Quasar,17093,3,*Active galaxy*
UVQS J034209.28-370251.7,55.53867,-37.04769,1150.1885,1453.7661,hst_hsla_uvqsj034209d28-370251d7--3607,6916.576000000001,COS,UAT=Active galactic nuclei; TIER1=Galaxy; TIER2=Active galaxy; TIER3=AGN,17478,3,*Active galaxy*
LBQS 1338-0038,205.30806486649,-0.8875080361200001,1131.0325,2281.9528,hst_hsla_lbqs1338-0038--2609,3068.544,COS,UAT=Quasars; TIER1=Galaxy; TIER2=Active galaxy; TIER3=Quasar,15890,3,*Active galaxy*
SDSS J142405.72+421646.3,216.0238899871,42.27951711049,1143.6804,1444.273,hst_hsla_sdssj142405d72p421646d3--0971,1208.9279999999999,COS,UAT=Emission line galaxies; TIER1=Galaxy; TIER2=Active galaxy; TIER3=Emission line galaxy,12928,3,*Active galaxy*
HARO11,9.215916666667,33.55472222222001,1151.3625,1802.5375,hst_hsla_haro11--0206,4900.608,COS,UAT=Starburst galaxies; TIER1=Galaxy; TIER2=Active galaxy; TIER3=Starburst galaxy,11727,3,*Active galaxy*
[VV2006] J234949.6+003535,357.45672889524,0.5931557001100001,1130.6034,1429.7426000000003,hst_hsla_bvv2006bj234949d6p003535--3601,9520.768,COS,UAT=Quasars; TIER1=Galaxy; TIER2=Active galaxy; TIER3=Quasar,17541,3,*Active galaxy*
2MASS J10082651-2735443,152.11050661562,-27.595641890450004,1130.5396,1429.7450999999999,hst_hsla_2massj10082651-2735443--2256,2318.3360000000002,COS,UAT=Active galactic nuclei; TIER1=Galaxy; TIER2=Active galaxy; TIER3=AGN,15227,3,*Active galaxy*
WISEA J094333.76+053121.6,145.89077875,5.522852777778,44.097300000000004,2440.4936000000007,hst_hsla_wiseaj094333d76p053121d6--0996,2205.152,COS,UAT=Quasar; TIER1=Galaxy; TIER2=Active galaxy; TIER3=Quasar,13033,3,*Active galaxy*
NGC 3259,158.14525615181,65.04108524579,1430.0841,1802.7526,hst_hsla_ngc3259--0844,2323.6800000000003,COS,UAT=Seyfert galaxies; TIER1=Galaxy; TIER2=Active galaxy; TIER3=Seyfert galaxy,12557,3,*Active galaxy*
2MASS J09224506+3032585,140.68800216658,30.54955142408,784.0748000000001,1952.1002000000003,hst_hsla_2massj09224506p3032585--3261,2059.744,COS,UAT=Seyfert galaxies; TIER1=Galaxy; TIER2=Active galaxy; TIER3=Seyfert galaxy,17217,3,*Active galaxy*
7C 101217.80+595940.00,153.92141292371,59.74593138804,1131.3223,1790.5044999999998,hst_hsla_7c101217d80p595940d00--1321,21379.264,COS,UAT=Quasars; TIER1=Galaxy; TIER2=Active galaxy; TIER3=Quasar,13852,3,*Active galaxy*
[VV2006] J212938.5-063801,322.41078523545,-6.63385016556,1130.5894,1429.8298,hst_hsla_bvv2006bj212938d5-063801--3600,9092.831999999999,COS,UAT=Quasars; TIER1=Galaxy; TIER2=Active galaxy; TIER3=Quasar,17541,3,*Active galaxy*
6C 092828+554656,143.00032589694,55.5631606784,1429.6347,1802.3138,hst_hsla_6c092828p554656--1913,5352.544,COS,UAT=Seyfert galaxies; TIER1=Galaxy; TIER2=Active galaxy; TIER3=Seyfert galaxy,14729,3,*Active galaxy*
2MASS J16063137+2736435,241.63069715547,27.61196117463,1113.7565,2283.3462,hst_hsla_2massj16063137p2736435--3769,1200.0,COS,UAT=Seyfert galaxies; TIER1=Galaxy; TIER2=Active galaxy; TIER3=Seyfert galaxy,17800,3,*Active galaxy*
NAME Leon X-1,79.90137668474,-60.80110621843999,1129.7761,1429.6567000000002,hst_hsla_nameleonx-1--3779,3578.5600000000004,COS,UAT=Seyfert galaxies; TIER1=Galaxy; TIER2=Active galaxy; TIER3=Seyfert galaxy,17774,3,*Active galaxy*
[VV2000] J032601.0-364149,51.50446828388001,-36.69696596727999,1155.3479,1450.7913,hst_hsla_bvv2000bj032601d0-364149--7162,1500.192,COS,UAT=Quasars; TIER1=Galaxy; TIER2=Active galaxy; TIER3=Quasar,17478,3,*Active galaxy*
2MASS J10045399+6026582,151.22488011968,60.44953991389,1130.2547,1425.6306999999997,hst_hsla_2massj10045399p6026582--7107,2037.7920000000001,COS,UAT=Active galactic nuclei; TIER1=Galaxy; TIER2=Active galaxy; TIER3=AGN,17115,3,*Active galaxy*
SDSS J234522.19+151217.3,356.34248134641,15.204821267290006,1131.5124,2241.2895,hst_hsla_sdssj234522d19p151217d3--7156,1425.024,COS,UAT=Quasars; TIER1=Galaxy; TIER2=Active galaxy; TIER3=Quasar,12178,3,*Active galaxy*
