mast_target_name,ra_deg,dec_deg,em_min_aa,em_max_aa,obs_id,t_exptime,instrument,target_classification,proposal_id,calib_level,query_classif
WAVE,,,1140.0,1606.0,y26y1g01t,60.0,FOS/BL,,5535,2,unfiltered
WAVE,,,4574.0,6871.999999999999,y26y1o04t,16.0,FOS/BL,,5535,2,unfiltered
WAVE,,,1140.0,2508.0,y26y1m04t,32.0,FOS/BL,,5535,2,unfiltered
WAVE,,,1140.0,2508.0,y26y1e04t,32.0,FOS/BL,,5535,2,unfiltered
WAVE,,,1573.0,2330.0,y26y1o03t,24.0,FOS/BL,,5535,2,unfiltered
WAVE,,,1140.0,2508.0,y26y1o02t,24.0,FOS/BL,,5535,2,unfiltered
WAVE,,,3540.0,9022.0,y26y1n02t,4.0,FOS/BL,,5535,2,unfiltered
WAVE,,,4574.0,6871.999999999999,y26y1m01t,32.0,FOS/BL,,5535,2,unfiltered
WAVE,,,2221.0,3301.0,y26y1l05t,32.0,FOS/BL,,5535,2,unfiltered
WAVE,,,1500.0,8950.0,y26y1l04t,80.0,FOS/BL,,5535,2,unfiltered
WAVE,,,1500.0,8950.0,y26y1l03t,8.0,FOS/BL,,5535,2,unfiltered
PKS1148-001,177.68275,-0.3986388888889,,,y24n0501t,35.70750045776,FOS/BL,GALAXY;QUASAR;BLR;;EXT-MEDIUM;AB,5095,1,unfiltered
WAVE,,,1573.0,2330.0,y29a0404t,480.0,FOS/BL,,5528,2,unfiltered
WAVE,,,1573.0,2330.0,y29a5403t,480.0,FOS/BL,,5528,2,unfiltered
WAVE,,,1573.0,2330.0,y29a5405t,480.0,FOS/BL,,5528,2,unfiltered
WAVE,,,1573.0,2330.0,y29a5404t,480.0,FOS/BL,,5528,2,unfiltered
WAVE,,,1573.0,2330.0,y29a5406t,480.0,FOS/BL,,5528,2,unfiltered
WAVE,,,1573.0,2330.0,y29a5407t,480.0,FOS/BL,,5528,2,unfiltered
WAVE,,,2221.0,3301.0,y26d0j07t,6.0,FOS/BL,,5530,2,unfiltered
WAVE,,,1500.0,8950.0,y26d0l02t,6.0,FOS/BL,,5530,2,unfiltered
WAVE,,,1140.0,2508.0,y26d0l04t,18.0,FOS/BL,,5530,2,unfiltered
WAVE,,,3540.0,9022.0,y26d0l03t,6.0,FOS/BL,,5530,2,unfiltered
TALED,65.47894160711,19.54848562452,,,y26d0l01t,66.0,FOS/BL,,5530,2,unfiltered
WAVE,,,1573.0,2330.0,y29a0606t,480.0,FOS/BL,,5528,2,unfiltered
WAVE,,,1573.0,2330.0,y29a0607t,480.0,FOS/BL,,5528,2,unfiltered
WAVE,,,3240.0,4822.0,y26d0l06t,6.0,FOS/BL,,5530,2,unfiltered
WAVE,,,1573.0,2330.0,y29a0601t,480.0,FOS/BL,,5528,2,unfiltered
WAVE,,,1573.0,2330.0,y26d0l08t,36.0,FOS/BL,,5530,2,unfiltered
WAVE,,,1140.0,1606.0,y26d0l09t,89.99813079834,FOS/BL,,5530,2,unfiltered
WAVE,,,1573.0,2330.0,y29a0605t,480.0,FOS/BL,,5528,2,unfiltered
WAVE,,,1573.0,2330.0,y29a5402t,480.0,FOS/BL,,5528,2,unfiltered
WAVE,,,1500.0,8950.0,y26y0x04t,80.0,FOS/BL,,5535,2,unfiltered
WAVE,,,3240.0,4822.0,y26y0x01t,16.0,FOS/BL,,5535,2,unfiltered
WAVE,,,1500.0,8950.0,y26y0z03t,4.0,FOS/BL,,5535,2,unfiltered
WAVE,,,4574.0,6871.999999999999,y26y0y01t,32.0,FOS/BL,,5535,2,unfiltered
WAVE,,,1140.0,2508.0,y26y0y04t,32.0,FOS/BL,,5535,2,unfiltered
WAVE,,,1573.0,2330.0,y26y0y02t,32.0,FOS/BL,,5535,2,unfiltered
WAVE,,,2221.0,3301.0,y26y0x05t,32.0,FOS/BL,,5535,2,unfiltered
WAVE,,,1140.0,2508.0,y26y1002t,24.0,FOS/BL,,5535,2,unfiltered
WAVE,,,3240.0,4822.0,y26y0z01t,4.0,FOS/BL,,5535,2,unfiltered
DARK,,,1140.0,1606.0,y2bu1302t,460.0,FOS/BL,,5532,2,unfiltered
MRK78-POS1,115.6731058333,65.17689555556,,,y2ba0203t,700.0,FOS/BL,GALAXY;SEYFERT;NLR;KNOT;,5471,1,unfiltered
WAVE,,,2221.0,3301.0,y26y0z05t,4.0,FOS/BL,,5535,2,unfiltered
DARK,,,1140.0,1606.0,y2bu1203t,460.0,FOS/BL,,5532,2,unfiltered
WAVE,,,1140.0,1606.0,y26y1001t,60.0,FOS/BL,,5535,2,unfiltered
WAVE,,,1573.0,2330.0,y26y1003t,24.0,FOS/BL,,5535,2,unfiltered
WAVE,,,4574.0,6871.999999999999,y26y1601t,32.0,FOS/BL,,5535,2,unfiltered
WAVE,,,3540.0,9022.0,y26y1502t,28.0,FOS/BL,,5535,2,unfiltered
WAVE,,,3240.0,4822.0,y26y1501t,16.0,FOS/BL,,5535,2,unfiltered
BD+28D4211,327.79625,28.86438888889,3240.0,4822.0,y2et0f0qt,180.0,FOS/BL,CALIBRATION;PHOTOMETRIC;,5539,2,unfiltered
WAVE,,,1140.0,1606.0,y26y1603t,127.9987487793,FOS/BL,,5535,2,unfiltered
WAVE,,,1500.0,8950.0,y26y1703t,4.0,FOS/BL,,5535,2,unfiltered
WAVE,,,1500.0,8950.0,y26y1504t,80.0,FOS/BL,,5535,2,unfiltered
WAVE,,,1500.0,8950.0,y26y1704t,2.0,FOS/BL,,5535,2,unfiltered
WAVE,,,3540.0,9022.0,y26y1702t,4.0,FOS/BL,,5535,2,unfiltered
WAVE,,,3240.0,4822.0,y26y1701t,4.0,FOS/BL,,5535,2,unfiltered
BD+28D4211,327.79625,28.86438888889,1140.0,1606.0,y2et0f0pt,370.9912719727,FOS/BL,CALIBRATION;PHOTOMETRIC;,5539,2,unfiltered
BD+28D4211,327.79625,28.86438888889,2221.0,3301.0,y2et0f0lt,120.0,FOS/BL,CALIBRATION;PHOTOMETRIC;,5539,2,unfiltered
WAVE,,,1140.0,1606.0,y26y1801t,60.0,FOS/BL,,5535,2,unfiltered
