mast_target_name,ra_deg,dec_deg,em_min_aa,em_max_aa,obs_id,t_exptime,instrument,target_classification,proposal_id,calib_level,query_classif
2MASS J07505172+2454095,117.7154998734,24.90259851382,1568.0,3184.0,hst_hsla_2massj07505172p2454095--6563,3466.0,STIS,UAT=Seyfert galaxies; TIER1=Galaxy; TIER2=Active galaxy; TIER3=Seyfert galaxy,17511,3,*Active galaxy*
SDSS J141706.67+514340.2,214.27783696683,51.72778899675,1568.0,3184.0,hst_hsla_sdssj141706d67p514340d2--6230,4186.399125,STIS,UAT=Seyfert galaxies; TIER1=Galaxy; TIER2=Active galaxy; TIER3=Seyfert galaxy,16171,3,*Active galaxy*
SDSS J224548.24+331250.6,341.451004,33.21406999999999,5235.999999999999,10266.000000000002,hst_hsla_sdssj224548d24p331250d6--6557,4234.0,STIS,UAT=Quasars; TIER1=Galaxy; TIER2=Active galaxy; TIER3=Quasar,17423,3,*Active galaxy*
NGC 4314,185.63331812519,29.89557705725,2900.0,6867.0,hst_hsla_ngc4314--3904,1740.0,STIS,UAT=LINER galaxies; TIER1=Galaxy; TIER2=Active galaxy; TIER3=LINER,7361,3,*Active galaxy*
M 84,186.2655972083333,12.886983138888889,2900.0,5700.0,hst_hsla_m84--3895,1420.0,STIS,UAT=Seyfert galaxies; TIER1=Galaxy; TIER2=Active galaxy; TIER3=Seyfert galaxy,7566,3,*Active galaxy*
NGC 1700,74.23465036378,-4.86577630923,2900.0,8847.0,hst_hsla_ngc1700--3890,3153.0,STIS,UAT=Emission line galaxies; TIER1=Galaxy; TIER2=Active galaxy; TIER3=Emission line galaxy,MULTI,3,*Active galaxy*
3C 135,78.5348684213,0.9423663556500002,5235.999999999999,10266.000000000002,hst_hsla_3c135--3857,2020.0,STIS,UAT=Seyfert galaxies; TIER1=Galaxy; TIER2=Active galaxy; TIER3=Seyfert galaxy,7568,3,*Active galaxy*
HE 1029-1401,157.97632241064,-14.280938361769998,1194.0,1300.0,hst_hsla_he1029-1401--3916,7535.0,STIS,UAT=Seyfert galaxies; TIER1=Galaxy; TIER2=Active galaxy; TIER3=Seyfert galaxy,7345,3,*Active galaxy*
US 796,144.7375732252,41.47256021457,2898.0,3054.0000000000005,hst_hsla_us796--4058,8155.0,STIS,UAT=Quasars; TIER1=Galaxy; TIER2=Active galaxy; TIER3=Quasar,7475,3,*Active galaxy*
Ton 1480,183.78846235412,33.16534427917,1140.0,1730.0,hst_hsla_ton1480--4115,8069.0,STIS,UAT=Quasars; TIER1=Galaxy; TIER2=Active galaxy; TIER3=Quasar,7291,3,*Active galaxy*
UVQS J045147.35+304713.0,72.947372118215,30.787018827985,5235.999999999999,10266.000000000002,hst_hsla_uvqsj045147d35p304713d0--4045,1800.0,STIS,UAT=Active galactic nuclei; TIER1=Galaxy; TIER2=Active galaxy; TIER3=AGN,7310,3,*Active galaxy*
SDSS J023437.62-084714.2,38.657166666670015,-8.787694444444,1194.0,1300.0,hst_hsla_sdssj023437d62-084714d2--3917,7556.0,STIS,UAT=Seyfert galaxies; TIER1=Galaxy; TIER2=Active galaxy; TIER3=Seyfert galaxy,7345,3,*Active galaxy*
QSO J2159-2417,329.85391668985,-24.29779998121,1568.0,3184.0,hst_hsla_qsoj2159-2417--4133,3358.0,STIS,UAT=Quasars; TIER1=Galaxy; TIER2=Active galaxy; TIER3=Quasar,8225,3,*Active galaxy*
QSO J1940-6907,295.10636729783334,-69.13249214874999,1140.0,1730.0,hst_hsla_qsoj1940-6907--3996,49518.23375,STIS,UAT=Quasars; TIER1=Galaxy; TIER2=Active galaxy; TIER3=Quasar,7272,3,*Active galaxy*
QSO J1348+2818,207.04903952925,28.30051167854,1140.0,1730.0,hst_hsla_qsoj1348p2818--4175,2342.0,STIS,UAT=Quasars; TIER1=Galaxy; TIER2=Active galaxy; TIER3=Quasar,8287,3,*Active galaxy*
QSO J1314-3105,198.73666666666665,-31.098638888888885,1140.0,1730.0,hst_hsla_qsoj1314-3105--4179,2360.0,STIS,UAT=Quasars; TIER1=Galaxy; TIER2=Active galaxy; TIER3=Quasar,8287,3,*Active galaxy*
QSO J2233-606,338.40658862764,-60.55809722026001,1140.0,5700.0,hst_hsla_qsoj2233-606--3913,150852.0,STIS,UAT=Quasars; TIER1=Galaxy; TIER2=Active galaxy; TIER3=Quasar,MULTI,3,*Active galaxy*
QSO J1210-2758,182.68242399506,-27.983049235829995,1568.0,3184.0,hst_hsla_qsoj1210-2758--4125,5071.0,STIS,UAT=Quasars; TIER1=Galaxy; TIER2=Active galaxy; TIER3=Quasar,8225,3,*Active galaxy*
QSO J0311-6039,47.77875,-60.650944444444434,1140.0,1730.0,hst_hsla_qsoj0311-6039--4180,2520.0,STIS,UAT=Quasars; TIER1=Galaxy; TIER2=Active galaxy; TIER3=Quasar,8287,3,*Active galaxy*
QSO J0304-2211,46.20777179637,-22.19774503543,1568.0,3184.0,hst_hsla_qsoj0304-2211--4056,21789.0,STIS,UAT=Quasars; TIER1=Galaxy; TIER2=Active galaxy; TIER3=Quasar,MULTI,3,*Active galaxy*
QSO B1320+4755B,200.71126740942,47.66032099302,1568.0,3184.0,hst_hsla_qsob1320p4755b--4162,8327.0,STIS,UAT=Quasars; TIER1=Galaxy; TIER2=Active galaxy; TIER3=Quasar,8126,3,*Active galaxy*
QSO B1331+170,203.39909481003,16.81778152798,2303.0,3111.0,hst_hsla_qsob1331p170--4083,60189.0,STIS,UAT=Blazars; TIER1=Galaxy; TIER2=Active galaxy; TIER3=Blazar,MULTI,3,*Active galaxy*
QSO B1634+7037,248.62079882682,70.5256648436,1806.0,3111.0,hst_hsla_qsob1634p7037--3974,72025.0,STIS,UAT=Quasars; TIER1=Galaxy; TIER2=Active galaxy; TIER3=Quasar,MULTI,3,*Active galaxy*
QSO B2348-147,357.87423074694993,-14.465789116539998,1140.0,1730.0,hst_hsla_qsob2348-147--4176,2318.0,STIS,UAT=BL Lacertae objects; TIER1=Galaxy; TIER2=Active galaxy; TIER3=BL Lac,8287,3,*Active galaxy*
QSO B0454+0356,74.19656162824,4.01470725069,2293.0,2383.0,hst_hsla_qsob0454p0356--4057,8931.600006,STIS,UAT=Quasars; TIER1=Galaxy; TIER2=Active galaxy; TIER3=Quasar,7475,3,*Active galaxy*
